Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Cldn9	Cldn9	46.0977707067302	-2.50399197261629	0.392751444433531	-6.37551308367008	1.82351420540921e-10	7.79242502437733e-09
Cdcp2	Cdcp2	10.1111545910668	-2.51168233509547	0.457552780338251	-5.48938274014788	4.03340776506178e-08	1.19348196826349e-06
Kcnj6	Kcnj6	12.6953079051878	-2.51337333941168	0.416239144158038	-6.03829162799114	1.5575438718018e-09	5.65404482617372e-08
Hpd	Hpd	5.49538944731226	-2.51804897604213	0.462510209152186	-5.44431004162675	5.2006569022079e-08	1.51343413917805e-06
Syt13	Syt13	130.63256172933	-2.52545331984658	0.270397513884438	-9.33978010214217	9.65343980150661e-21	1.51748626022612e-18
Slc2a3	Slc2a3	2510.27771826203	-2.54511858829037	0.283501313745358	-8.97744900955346	2.77117026837387e-19	3.6205092836582e-17
Aldoc	Aldoc	104.989607454314	-2.5531911832964	0.315346616058538	-8.09645974708175	5.65816880644982e-16	5.13493402094617e-14
Chga	Chga	48.9766903898036	-2.57479082559398	0.358139749253294	-7.1893467032417	6.51020681409952e-13	3.95236900582883e-11
Atp1a2	Atp1a2	242.427511901741	-2.60129463885092	0.271127977375696	-9.59434236197013	8.44539461512851e-22	1.44358852032964e-19
Lefty2	Lefty2	6.78162968288264	-2.60865553690999	0.464099962467955	-5.62089150586845	1.89974554319847e-08	5.83715881911906e-07
Prss22	Prss22	11.5564729388555	-2.64176177610021	0.465652603336235	-5.67324601467474	1.40116781388587e-08	4.38169814054612e-07
Gm5887	Gm5887	14.9254253277157	-2.64303576500343	0.374658881288505	-7.05451250992278	1.73206869652369e-12	9.93316008827236e-11
Agtr1b	Agtr1b	8.78665993469516	-2.64607233930018	0.435407440422155	-6.07723271043473	1.22274255321915e-09	4.53206352778972e-08
Sulf1	Sulf1	2367.88298251498	-2.66656159159945	0.137848163667156	-19.3441937901911	2.28144176822724e-83	2.00835318857044e-79
Avpr1b	Avpr1b	12.2008493689259	-2.68602722910639	0.435293490675341	-6.17061198167499	6.80261761555889e-10	2.64386061235165e-08
Serpina3h	Serpina3h	114.809484889092	-2.70620215355675	0.319642421264056	-8.46634230480052	2.53219270425835e-17	2.75196202167731e-15
Asb12	Asb12	29.4089299206604	-2.70673642819951	0.350500976838011	-7.72247898598717	1.1408873339094e-14	9.04795603640042e-13
Oasl2	Oasl2	12.2403922998225	-2.7256482273856	0.414339365416628	-6.57829898601331	4.75860628656814e-11	2.22028913004822e-09
Myocd	Myocd	132.073011955323	-2.73291054024726	0.33556081173024	-8.14430781161737	3.81457708841125e-16	3.53470759045097e-14
Dgkk	Dgkk	417.751641095176	-2.73720392037762	0.274679550509166	-9.96508081982713	2.16697546999827e-23	4.38526093388385e-21
Lfng	Lfng	484.324051497845	-2.74666481661671	0.291845154845399	-9.41137713275286	4.8967844832877e-21	7.90943005621682e-19
Epha5	Epha5	57.5378677859066	-2.76609375534992	0.353971186441375	-7.81446021965419	5.51990634182154e-15	4.56260427484084e-13
Synm	Synm	309.661957099255	-2.76618863222395	0.225126798643329	-12.287247226424	1.06056352993292e-34	4.66807037699976e-32
B230323A14Rik	B230323A14Rik	43.7320385254229	-2.78153596004193	0.357898223308042	-7.77186300153233	7.73400729800876e-15	6.21757682596997e-13
Arl4d	Arl4d	497.507971552512	-2.78569302035697	0.273865259266886	-10.1717648591648	2.65061836917025e-24	5.69107158629408e-22
Pitx1	Pitx1	1475.17601395885	-2.79479537456583	0.457772301777836	-6.10520855829803	1.02666531702238e-09	3.88719775731098e-08
Cxcr4	Cxcr4	405.731120522067	-2.7967574777315	0.254587268071191	-10.9854569669581	4.48960727120763e-28	1.25466707328383e-25
Rftn1	Rftn1	521.13448528957	-2.82613143816117	0.231255970059058	-12.2207934240116	2.40723729948238e-34	1.03370292426065e-31
Sowaha	Sowaha	8.05372022536664	-2.82659729651684	0.430114435932357	-6.57173314908541	4.97329354670719e-11	2.31028512357063e-09
Lrrtm3	Lrrtm3	23.3851758663745	-2.82720831154327	0.345763873080865	-8.17670245983754	2.91717173132585e-16	2.79128942944147e-14
Npbwr1	Npbwr1	39.2817703232198	-2.85920697535853	0.413819288642468	-6.90931296300407	4.87006494844817e-12	2.59040373058545e-10
Wnt3a	Wnt3a	81.3224495380635	-2.86052645318148	0.421002615005752	-6.79455744744579	1.086455180159e-11	5.593020439146e-10
Hes3	Hes3	64.5946248604273	-2.88451318168676	0.433640193575755	-6.65185844029204	2.89415002956242e-11	1.39984630276033e-09
Noto	Noto	13.5183199514933	-2.90134928673428	0.450642107170822	-6.43825608074943	1.20853979884264e-10	5.31938792460589e-09
Sp8	Sp8	207.753915387141	-2.90253138997059	0.21836178895732	-13.292304499932	2.56553184263931e-40	1.61316977219671e-37
Hoxa13	Hoxa13	44.7546486234321	-2.9046931353214	0.466820344657538	-6.22229336952377	4.89939811920979e-10	1.95598193394121e-08
Cpa6	Cpa6	11.9082085430009	-2.90992990165674	0.419797459654996	-6.93174728605605	4.15674046962342e-12	2.27986207813676e-10
Fgf17	Fgf17	150.078669422792	-2.91788775584585	0.458972859539291	-6.35742984623268	2.05157314049064e-10	8.70361366541645e-09
F13a1	F13a1	13.1227696723519	-2.92395919067452	0.425685762891511	-6.86882072544134	6.47347956364519e-12	3.42258502094706e-10
Aldh1b1	Aldh1b1	108.068273379774	-2.95039696586427	0.334730102592574	-8.81425645023457	1.20481984159355e-18	1.515147009364e-16
Foxb1	Foxb1	573.103938199595	-2.95529935099664	0.308534675333553	-9.57849988109666	9.84646408765548e-22	1.66689275699291e-19
Aqp3	Aqp3	15.9954425814398	-2.95972335587398	0.433619997937883	-6.82561544658733	8.75491625384721e-12	4.58747189182244e-10
Mesp1	Mesp1	39.9851979001118	-2.98390034355466	0.467064221262363	-6.38862967385918	1.67378854567769e-10	7.18749295980523e-09
