Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Vps72	Vps72	1676.08525521808	0.516274345343258	0.0899420941627832	5.74007476864915	9.4634759768415e-09	3.21692917861047e-06
Lsmd1	Lsmd1	507.624552511579	0.515043348481303	0.122793478454806	4.19438682707295	2.73610714953535e-05	0.0016151224119832
Mrpl51	Mrpl51	569.819799418413	0.511440636095246	0.118785293614351	4.30558885307546	1.66542125531296e-05	0.0011168518867262
Mrpl12	Mrpl12	2700.21285933308	0.51046105744236	0.0981092799722112	5.2029844433365	1.96113291954117e-07	3.51506333106125e-05
Rps28	Rps28	868.712542532083	0.510263010474674	0.106221822313366	4.80374935546991	1.55721743525662e-06	0.000166859233443041
Exosc6	Exosc6	808.597520797186	0.508869215197159	0.106061462748919	4.79787098921891	1.60361006796715e-06	0.000169982667204518
Rpl24	Rpl24	2417.52017081076	0.50812403187665	0.0851865147836583	5.96484118603859	2.44872092604592e-09	9.65579635558426e-07
Id3	Id3	9648.03615695304	0.505406593254064	0.0877776552636549	5.75780466835199	8.52148777169395e-09	3.00017237333425e-06
Ccdc12	Ccdc12	434.559157178229	0.505281552758105	0.124791930801129	4.04899218654876	5.14386618866249e-05	0.00258715473917525
Sdhaf1	Sdhaf1	337.295476962214	0.504497156348019	0.129079349707694	3.90842654142955	9.28991846668637e-05	0.00410672718585624
2810432D09Rik	2810432D09Rik	670.881791616818	0.504199827956618	0.120718710990542	4.17665019630737	2.95833429844665e-05	0.00170545377275363
Tomm6	Tomm6	381.402897231507	0.503509566056014	0.125860625475409	4.00053284459793	6.3200014129488e-05	0.00300978618013764
Rps26	Rps26	1770.8870906549	0.502575789110636	0.107615326778402	4.67011348806779	3.0103338172198e-06	0.000279961045001442
Mrpl54	Mrpl54	610.491409272821	0.502073086902027	0.125411954696417	4.00339096952429	6.24409846981677e-05	0.00300264988855872
Rps3a	Rps3a	12955.1472921593	0.500983570660224	0.088706296989328	5.64766637390462	1.62640411563024e-08	4.85851265814635e-06
Rpl38	Rpl38	2890.18745060172	0.500580925943579	0.0830779240106931	6.0254385494653	1.68651688221186e-09	6.92736809368521e-07
Rps10	Rps10	2555.88843399255	0.499912709535315	0.101575859139731	4.92157008337601	8.58526469290857e-07	0.000103211633344747
Snrpd3	Snrpd3	3282.32101307628	0.498401974038627	0.100732458740053	4.94777929847608	7.5064950501389e-07	9.48705489798325e-05
Bud31	Bud31	3545.84241259435	0.496401686489899	0.10237263606099	4.84896848992109	1.24105131091347e-06	0.000140623951988334
0610011F06Rik	0610011F06Rik	655.77929876639	0.496143084960562	0.114805904941432	4.32158158775603	1.54914747908633e-05	0.00106152006215046
Vps28	Vps28	517.102962044269	0.49565792972461	0.115536048585215	4.2900716771444	1.78615460936953e-05	0.0011817390697426
Snrpd2	Snrpd2	917.757166586007	0.48860145650207	0.112903459955685	4.3276039254585	1.5074022523652e-05	0.00104647685942367
Uqcrb	Uqcrb	1566.42733897263	0.487623577916578	0.103039693842736	4.73238574117673	2.21896214482412e-06	0.000225510606429651
0610010K14Rik	0610010K14Rik	1031.47884384445	0.487160831576308	0.11412502267342	4.2686592314673	1.96651424047719e-05	0.00123522639329711
Naa10	Naa10	1300.98734075925	0.487119098858241	0.0993847947543136	4.90134431592312	9.51830637773518e-07	0.000111704124132992
